MAGIRUS-KHD 1015 12-16-24V - 2015 32V;OZ1147;IN;;47,60;38,00;7,30;30°
MAGIRUS-KHD 1015 12-16-24V - 2015 32V;OZ1148;EX;;44,10;35,50;7,20;45°
MAGIRUS-KHD 2013 (24V)  /  VOLVO  TAD 735;OZ1149;IN;;39,35;31,20;7,50;45°
MAGIRUS-KHD 2013 (24V)  /  VOLVO  TAD 736;OZ1150;EX;;36,85;28,40;7,50;0°
MAN  5.20  (415) (12V);OZ1151;IN;;52,15;41,00;10,00;45°
MAN  5.20  (415) (12V);OZ1152;EX;;46.15;35,50;10,00;45°
MAN  7.70 (12V);OZ1153;IN;;62,15;50,00;11,50;45°
MAN  7.70 (12V);OZ1154;EX;;54,65;42,00;11,50;45°
MAN  7.80 (12V)  - IKARUS;OZ1155;IN;;59,50;48,00;10,20;30°
MAN  7.80 (12V)  - IKARUS;OZ1156;EX;;51,30;39,80;10,20;45°
MAN  19.190, 5.90 (D0836, D0846) (12V);OZ1157;IN;;54,15;44,00;10,20;45°
MAN  19.190, 5.90 (D0836, D0846) (12V);OZ1158;EX;;45,15;34,50;10,20;45°
MAN  26.240 (12V);OZ1159;IN;;61,15;48,00;9,00;45°
MAN  26.240 (12V);OZ1160;EX;;53,15;43,00;10,00;45°
MAN  26.280, 26.281 (D2566-D2866) (12V);OZ1161;IN;;61,15;48,00;8,90;30°
MAN  26.280, 26.281 (D2566-D2866) (12V);OZ1162;EX;;53,15;43,00;10,00;45°
MAN  19.462-463 TIR D2840 20V -19,422 12V;OZ1163;IN;;61,15;48,00;8,90;30°
MAN  19.462-463 TIR D2840 20V -19,422 12V;OZ1164;EX;;53,15;43,00;10,00;45°
MAN  26.230 (D0826) (12V);OZ1165;IN;;51,15;41,50;8,50;30°
MAN  26.230 (D0826) (12V);OZ1166;EX;;44,10;33,50;8,60;45°
MAN  TGA 19.464 (24V) - (D2876);OZ1167;IN;;48,15;38,20;8,00;
MAN  TGA 19.464 (24V) - (D2876);OZ1168;EX;;48,15;40,50;8,00;
MAN  TGA 19.480 (24V);OZ1169;IN;;46,10;37,00;7,80;
MAN  TGA 19.480 (24V);OZ1170;EX;;44,10;36,00;7,90;
MAN  TGA 19.430 (24V) COMMERİAL (D2066);OZ1171;IN;;42,10;32,30;8,00;
MAN  TGA 19.430 (24V) COMMERİAL (D2066);OZ1172;EX;;40,10;33,00;8,00;
MAN  TGL 04.10/06 - NEOPLAN D0836-D0836 (24V);OZ1173;IN;;40,10;30,20;8,10;
MAN  TGL 04.10/06 - NEOPLAN D0836-D0836 (24V);OZ1174;EX;;36,10;28,50;8,40;
MASSEY FERGUSON  MF 135 (3.152) (6V);OZ1175;IN;;42,00;35,00;7,50;45°
MASSEY FERGUSON  MF 135 (3.152) (6V);OZ1176;EX;;37,00;30,00;8,00;45°
MASSEY FERGUSON  MF 135  (6V) -  HAM ;OZ1177;IN;;45,00;35,00;8,00;45°
MASSEY FERGUSON  MF 135  (6V) -  HAM ;OZ1178;EX;;40,00;30,00;8,00;45°
MASSEY FERGUSON  MF 165-185-285 (8V);OZ1179;IN;;46,00;40,00;8,50;45°
